Name,Description,Ocupation Wikidata Ids
ESTELLE PARSONS,Actress,"actor|""singer""|"
MIYOSHI UMEKI,actress,"actor|""singer""|"
CLAIRE BLOOM,Actress,"actor|""autobiographer""|"
VERONICA LAKE,actress,"actor|""aviator""|"
REGINA KING,Actress,"actor|""voice actor""|"
DANA DELANY,actress,"actor|""voice actor""|"
SALLY FIELD,Actress,"actor|""film director""|""singer""|""voice actor""|"
ELAINE MAY,actress,"actor|""film director""|""screenwriter""|""author""|"
RUTH GORDON,Actress,"actor|""screenwriter""|""playwright""|"
ASHLEY SCOTT,Actress,"actor|""model""|"
TIA MOWRY,actress,"actor|""model""|"
MARLEE MATLIN,actress,"actor|""novelist""|""writer""|""autobiographer""|"
LISA RINNA,Actress,"actor|""television presenter""|"
OLIVIA HUSSEY,actress,"actor|""child actor""|"
JUDY CRAYMER,Actress,
JULIE WILSON,actress,
PRISCILLA PRESLEY,actress and businesswoman from the United States,"actor|""model""|""writer""|""entrepreneur""|"
SHARON STONE,actress and fashion model from the United States,"actor|""film actor""|""model""|"
LAURA KEENE,Actress and manager,
JANE RUSSELL,Actress and model,"film actor|""actor""|""singer""|"
LINDA DOUCETT,Actress and model,actor|
ISABELLA STEWART GARDNER,actress and patron of the arts,art collector|
EMMANUELLE VAUGIER,actress and singer,"actor|""model""|"
JULIE LONDON,actress and singer from the United States,"actor|""singer""|""singer-songwriter""|"
GLORIA REUBEN,actress from Canada,"actor|""singer""|"
NICOLE KIDMAN,actress from Hawaii,"actor|""singer""|""film producer""|"
ROBIN TUNNEY,actress from the United States,actor|
VIRGINIA MADSEN,actress from the United States,actor|
KYRA SEDGWICK,actress from the United States,"actor|""television actor""|""film actor""|"
ADRIENNE BARBEAU,actress from the United States,"actor|""television actor""|""film actor""|""singer""|"
ROSALIND RUSSELL,actress from the United States,"actor|""film actor""|""singer""|"
JUNE ALLYSON,actress from the United States,"actor|""film actor""|""dancer""|"
ELAINE STRITCH,actress from the United States,"actor|""singer""|"
KATHRYN GRAYSON,actress from the United States,"actor|""singer""|""musician""|""opera singer""|"
BETTY WHITE,actress from the United States,"actor|""comedian""|""television presenter""|""singer""|""writer""|""musician""|"
ROSANNA ARQUETTE,actress from the United States,"actor|""film director""|""film producer""|"
AMY POEHLER,actress from the United States,"actor|""screenwriter""|""film producer""|""writer""|""television actor""|"
REBECCA ROMIJN,actress from the United States,"actor|""model""|"
JULIE CHRISTIE,Actress| activist,"film actor|""actor""|"
TORI SPELLING,Actress| author,"actor|""television actor""|""film actor""|""autobiographer""|"
JAMIE LEE CURTIS,actress| author,"actor|""film actor""|""writer""|""author""|"
DEBBIE ALLEN,actress| choreographer| television director| television producer| singer| dancer,"actor|""film director""|""choreographer""|""film producer""|""dancer""|"
TRACEY ULLMAN,Actress| comedian| singer| dancer| screenwriter and author,"television actor|""film actor""|""actor""|""comedian""|""singer""|"
GRACIE ALLEN,Actress| comedienne,"actor|""singer""|""dancer""|"
CAROL BURNETT,Actress| comedienne| singer| dancer| writer,"actor|""singer""|"
ROSEANNE BARR,actress| comedienne| writer| producer| director,"actor|""television actor""|""writer""|""blogger""|"
CHITA RIVERA,Actress| dancer| singer,"actor|""dancer""|"
FIONA SHAW,Actress| director,actor|
ZOE CALDWELL,Actress| director,actor|
ASIA ARGENTO,actress| film director,"film director|""actor""|""film producer""|""disc jockey""|""singer""|""author""|""screenwriter""|"
CHRISTINE LAHTI,actress| film director,"film director|""actor""|""blogger""|"
JULIET BERTO,Actress| Film director,"actor|""film director""|""screenwriter""|"
ZOE CASSAVETES,Actress| film director| screenwriter,"actor|""screenwriter""|""film director""|"
BETTY THOMAS,Actress| film director| television director,"actor|""film director""|""film producer""|"
MARIA BELLO,Actress| humanitarian,"actor|""singer""|"
LAUREN HUTTON,Actress| model,actor|
STELLA STEVENS,Actress| model,"actor|""film director""|""film producer""|"
RENE RUSSO,actress| model,"actor|""model""|"
VALERIE PERRINE,Actress| model,"actor|""model""|"
ANITA EKBERG,Actress| model,"actor|""model""|""film actor""|"
KAY ADSHEAD,Actress| poet| playwright| artistic director| theatrical producer,actor|
JOANNE WOODWARD,Actress| producer,"television actor|""film actor""|""actor""|"
RITA WILSON,actress| producer,"television actor|""film actor""|""actor""|""film producer""|""singer""|"
JENNA ELFMAN,actress| producer,"actor|""film producer""|"
EMMA THOMPSON,actress| screenwriter,"actor|""television actor""|""film actor""|""comedian""|""film director""|"
CARRIE FISHER,actress| screenwriter| novelist,"actor|""film actor""|""novelist""|""playwright""|""voice actor""|""screenwriter""|""writer""|"
DOROTHY LAMOUR,Actress| singer,"television actor|""film actor""|""singer""|""actor""|""beauty pageant contestant""|"
DOROTHY DANDRIDGE,actress| singer,"television actor|""actor""|"
NANCY OPEL,Actress| singer,singer|
PIA ZADORA,actress| singer,"singer|""actor""|""musician""|"
SHANNON BOLIN,Actress| singer,opera singer|
LESLIE UGGAMS,Actress| singer,actor|
HELENA BONHAM CARTER,actress| singer,"actor|""film actor""|""voice actor""|"
HAYDEN PANETTIERE,actress| singer,"actor|""singer""|""voice actor""|""musician""|"
RONEE BLAKLEY,Actress| singer,"actor|""singer""|""film director""|""screenwriter""|""songwriter""|"
ETHEL MERMAN,Actress| singer,"actor|""singer""|""writer""|"
LEA MICHELE,actress| singer,"actor|""singer""|""composer""|""voice actor""|""musician""|""singer-songwriter""|"
MAY IRWIN,actress| singer,"actor|""singer""|""musician""|"
BERNADETTE PETERS,Actress| singer,"actor|""singer""|""child actor""|""voice actor""|""writer""|"
BETTY BUCKLEY,Actress| singer,"actor|""musician""|""singer""|"
ANNIE ROSS,Actress| singer and vocalist,"actor|""singer""|"
DANA REEVE,Actress| singer| activist,"singer|""actor""|""musician""|"
KRISTIN CHENOWETH,actress| singer| author,"singer|""actor""|""writer""|""voice actor""|""autobiographer""|""composer""|"
BEA ARTHUR,actress| singer| comedian,"actor|""television actor""|""singer""|"
CHRISTINE PEDI,Actress| singer| disk jockey,
POLA NEGRI,Actress| singer| memorist,"actor|""singer""|""writer""|"
SHAR JACKSON,actress| singer| rapper,"actor|""musician""|"
KATEY SAGAL,actress| singer-songwriter,"singer|""actor""|""singer-songwriter""|""composer""|"
KATHLEEN YORK,Actress| singer-songwriter,"actor|""singer""|""songwriter""|""singer-songwriter""|""composer""|"
ETHEL WATERS,actress| vocalist,"actor|""musician""|""singer""|"
MARIA AITKEN,Actress| writer| producer and director,"actor|""screenwriter""|""author""|"
HELEN PREJEAN,advocate for the abolition of the death penalty,author|
JAWED LUDIN,Afghan diplomat,diplomat|
SAYED RAHMATULLAH HASHEMI,Afghan diplomat,diplomat|
GULBUDDIN HEKMATYAR,Afghan politician,politician|
ABDUL RASUL SAYYAF,Afghan politician,politician|
HAKIM TANIWAL,Afghan politician,politician|
SARWAR DANISH,Afghan politician,politician|
ABDUL WALI,Afghan torture victim,
ABDUL RASHID DOSTUM,Afghan warlord,"politician|""military personnel""|"
BURHANUDDIN RABBANI,Afghanistan politician| former President of Afghanistan (1992-2001),"politician|""educationist""|"
KARA WALKER,African American artist,artist|
HARRIET TUBMAN,African-American abolitionist and humanitarian,
HINTON BATTLE,African-American actor| dancer| and choreographer,"actor|""choreographer""|"
ROSA PARKS,African-American civil rights activist,"autobiographer|""tailor""|"
MEDGAR EVERS,African-American civil rights activist,politician|
BOOKER T. WASHINGTON,African-American educator| author| orator| and advisor,"educator|""writer""|""autobiographer""|""educationist""|"
IDA B. WELLS,African-American journalist| newspaper editor| suffragist| sociologist| early leader in the civil rights movement,journalist|
CORNEL WEST,African-American philosopher and political/civil rights activist,"theologian|""philosopher""|"
ADRIENNE KENNEDY,African-American playwright,"film producer|""author""|"
AMIRI BARAKA,African-American writer,"poet|""writer""|""author""|""playwright""|"
PHILIPPE REINES,aide to Hillary Clinton,
SARA TAYLOR,Aide to President George W. Bush,
LUCY BAXLEY,Alabama politician,politician|
FRANK MURKOWSKI,Alaska politician,"politician|""banker""|"
ABDELHAK LAYADA,Algerian Islamist,
HASSAN HATTAB,Algerian Islamist leader,
CHAKIB KHELIL,Algerian politician,politician|
AHMED RESSAM,Algerian terrorist,
YASMINA KHADRA,Algerian writer,"writer|""author""|"
BRAD WILKERSON,All-American college baseball player| Major League baseball player| first baseman| outfielder| Olympic gold medalist,baseball player|
DAVID ECKSTEIN,All-American college baseball player| Major League baseball player| World Series MVP| MLB All-Star,baseball player|
ROD WOODSON,All-American college football player| professional football player| coach,sportsperson|
CHRIS MCALISTER,All-American college football player| professional football player| cornerback,"sportsperson|""gridiron football player""|"
LITO SHEPPARD,All-American college football player| professional football player| cornerback| All-Pro| Pro Bowl selection,"sportsperson|""gridiron football player""|"
TERENCE NEWMAN,All-American college football player| professional football player| defensive back,sportsperson|
TERRELL BUCKLEY,All-American college football player| professional football player| defensive back| cornerback,baseball player|
FRED SMOOT,All-American college football player| professional football player| defensive back| cornerback,gridiron football player|
SHAWN SPRINGS,All-American college football player| professional football player| defensive back| cornerback,gridiron football player|
AARON GLENN,All-American college football player| professional football player| defensive back| cornerback| safety,sportsperson|
DEION SANDERS,All-American college football player| professional football player| defensive back| cornerback| wide receiver,"sportsperson|""baseball player""|""gridiron football player""|"
DEON GRANT,All-American college football player| professional football player| defensive back| safety,"sportsperson|""gridiron football player""|"
JEVON KEARSE,All-American college football player| professional football player| defensive end| All-Pro| Pro Bowl selection,"sportsperson|""gridiron football player""|"
QUINN PITCOCK,All-American college football player| professional football player| defensive lineman,"sportsperson|""gridiron football player""|"
MONTAE REAGOR,All-American college football player| professional football player| defensive lineman,"sportsperson|""gridiron football player""|"
WARREN SAPP,All-American college football player| professional football player| defensive lineman,"sportsperson|""television presenter""|"
REGGIE WHITE,All-American college football player| professional football player| defensive lineman| College Football Hall of Fame member,sportsperson|
GERARD WARREN,All-American college football player| professional football player| defensive lineman| defensive tackle| defensive end,"sportsperson|""gridiron football player""|"
MARK SIMONEAU,All-American college football player| professional football player| linebacker,gridiron football player|
E. J. HENDERSON,All-American college football player| professional football player| linebacker,sportsperson|
CHRIS CLAIBORNE,All-American college football player| professional football player| linebacker,sportsperson|
JAMES LAURINAITIS,All-American college football player| professional football player| linebacker,"sportsperson|""ice hockey player""|""gridiron football player""|"
BRIAN URLACHER,All-American college football player| professional football player| linebacker,"sportsperson|""gridiron football player""|"
DERRICK BROOKS,All-American college football player| professional football player| linebacker,"sportsperson|""gridiron football player""|"
TEDY BRUSCHI,All-American college football player| professional football player| linebacker,"sportsperson|""gridiron football player""|"
LAVAR ARRINGTON,All-American college football player| professional football player| linebacker,"sportsperson|""gridiron football player""|"
BRANDON SHORT,All-American college football player| professional football player| linebacker,"sportsperson|""gridiron football player""|"
JACK DEL RIO,All-American college football player| professional football player| linebacker| coach,"sportsperson|""baseball player""|"
MIKE SINGLETARY,All-American college football player| professional football player| linebacker| coach| College Football Hall of Fame member| Pro Football Hall of Fame member,"sportsperson|""gridiron football player""|"
LAWRENCE TAYLOR,All-American college football player| professional football player| linebacker| Pro Football Hall of Fame member,"actor|""sportsperson""|"
JUSTIN BLALOCK,All-American college football player| professional football player| offensive lineman,"sportsperson|""gridiron football player""|"
KOREY STRINGER,All-American college football player| professional football player| offensive lineman,"sportsperson|""gridiron football player""|"
BOB WHITFIELD,All-American college football player| professional football player| offensive lineman,"sportsperson|""gridiron football player""|"
JARVIS MOSS,All-American college football player| professional football player| outside linebacker| BCS national champion,sportsperson|
MASON CROSBY,All-American college football player| professional football player| placekicker,"sportsperson|""gridiron football player""|"
TODD SAUERBRUN,All-American college football player| professional football player| punter,sportsperson|
REX GROSSMAN,All-American college football player| professional football player| quarterback,"sportsperson|""gridiron football player""|"
COLT MCCOY,All-American college football player| professional football player| quarterback,"sportsperson|""gridiron football player""|"
DOUG FLUTIE,All-American college football player| professional football player| quarterback| College Football Hall of Fame member| Heisman Trophy winner,"sportsperson|""gridiron football player""|"
JOHN ELWAY,All-American college football player| professional football player| quarterback| College Football Hall of Fame member| Pro Football Hall of Fame member,"sportsperson|""baseball player""|""gridiron football player""|"
VINNY TESTAVERDE,All-American college football player| professional football player| quarterback| Heisman Trophy winner,"sportsperson|""gridiron football player""|"
MATT LEINART,All-American college football player| professional football player| quarterback| Heisman Trophy winner,"sportsperson|""gridiron football player""|"
WILLIS MCGAHEE,All-American college football player| professional football player| running back,"sportsperson|""gridiron football player""|"
DARREN MCFADDEN,All-American college football player| professional football player| running back,"sportsperson|""gridiron football player""|"
JAVON RINGER,All-American college football player| professional football player| running back,"sportsperson|""gridiron football player""|"
LADAINIAN TOMLINSON,All-American college football player| professional football player| running back,"sportsperson|""gridiron football player""|"
THURMAN THOMAS,All-American college football player| professional football player| running back| College Football Hall of Fame member| Pro Football Hall of Fame member,sportsperson|
GALE SAYERS,All-American college football player| professional football player| running back| College Football Hall of Fame| Pro Football Hall of Fame,stockbroker|
BO JACKSON,All-American college football player| professional football player| running back| Major League Baseball player| outfielder| Heisman Trophy winner| College Football Hall of Fame member,"baseball player|""banker""|""gridiron football player""|"
MARSHALL FAULK,All-American college football player| professional football player| running back| Pro Football Hall of Fame member,"sportsperson|""gridiron football player""|"
EMMITT SMITH,All-American college football player| professional football player| running back| Super Bowl champion| sports broadcaster| College Football Hall of Fame member,"sportsperson|""gridiron football player""|"
KELLEN WINSLOW,All-American college football player| professional football player| tight end| College Football Hall of Fame member| Pro Football Hall of Fame member,sportsperson|
TERRY GLENN,All-American college football player| professional football player| wide receiver,gridiron football player|
PERCY HARVIN,All-American college football player| professional football player| wide receiver,sportsperson|
JABAR GAFFNEY,All-American college football player| professional football player| wide receiver,sportsperson|
